Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
WN,BNA,0,25,16,4,81,26100,473,24,2.79,2.82,126,1
WN,PIT,0,69,9,7,35,26100,473,24,2.79,2.82,126,1
WN,RDU,0,47,8,3,42,26100,473,24,2.79,2.82,126,1
WN,ROC,0,62,9,8,40,26100,473,24,2.79,2.82,126,1
WN,BDL,0,88,10,5,53,27300,473,24,2.68,3.45,160,1
WN,SDF,0,166,12,3,71,26100,473,24,2.79,2.82,126,1
WN,DEN,83,16,84,5,229,27300,473,24,2.68,3.45,160,1
WN,CLE,49,9,46,7,81,26100,473,24,2.79,2.82,126,1
WN,HOU,17,26,54,2,156,26100,473,24,2.79,2.82,126,1
WN,JAX,0,90,12,6,88,26100,473,24,2.79,2.82,126,1
WN,IND,0,176,13,5,72,26100,473,24,2.79,2.82,126,1
WN,BUF,0,138,11,4,43,27300,473,24,2.68,3.45,160,1
WN,DAL,0,99,14,15,152,27300,473,24,2.68,3.45,160,1
WN,BNA,0,55,12,7,79,26100,473,24,2.79,2.82,126,1
WN,MDW,0,206,17,7,87,26100,473,24,2.79,2.82,126,1
WN,HOU,0,17,11,18,164,26100,473,24,2.79,2.82,126,1
WN,ROC,0,248,18,4,46,26100,473,24,2.79,2.82,126,1
WN,CMH,3,109,15,21,52,26100,473,24,2.79,2.82,126,1
WN,ATL,0,72,14,10,78,26100,473,24,2.79,2.82,126,1
WN,ORF,0,87,13,3,32,26100,473,24,2.79,2.82,126,1
WN,BUF,0,377,11,2,48,26100,473,24,2.79,2.82,126,1
WN,STL,40,221,21,6,143,26100,473,24,2.79,2.82,126,1
WN,MSY,0,70,6,3,134,27300,473,24,2.68,3.45,160,1
WN,IND,0,83,11,4,72,26100,473,24,2.79,2.82,126,1
WN,MCO,0,233,9,7,101,26100,473,24,2.79,2.82,126,1
WN,CVG,0,46,11,5,65,26100,473,24,2.79,2.82,126,1
WN,DEN,0,116,17,10,196,26100,473,24,2.79,2.82,126,1
WN,FLL,0,122,18,7,118,26100,473,24,2.79,2.82,126,1
