Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-MIA,15.90379211,129,34.63644946,105.0449155,651,0.140783248,2,0
CLT-MIA,15.4579986,122.6902174,29.01016523,112.6315709,651,0.166140463,2,0
CLT-MIA,15.83644917,129,39.20735035,107.5595526,651,0.165087844,2,0
CLT-MIA,15.90368901,128.1333333,34.26847686,118.2641238,651,0.133881304,2,0
CLT-MIA,15.52077726,145.9615385,37.64551377,108.0805199,651,0.17089316,2,0
CLT-MIA,16.39828795,144.7826087,39.60056343,109.7528546,651,0.192157881,2,0
CLT-MIA,16.76648405,142.3695652,45.91113569,114.687264,651,0.168194776,2,0
CLT-MIA,17.23134079,148,48.69916475,122.7640428,651,0.150228388,2,0
CLT-MIA,18.35430927,173.6555556,34.65381762,126.9910356,651,1,1,0
CLT-MIA,17.35791091,226.2362637,32.61509488,122.5008367,651,1,1,0
CLT-MIA,16.97430639,256.5434783,36.6821069,124.9945308,651,1,1,0
CLT-MIA,18.05538891,259.1847826,41.52524743,128.5135273,651,1,1,0
CLT-MIA,17.89920709,233.8956044,41.52737676,120,651,1,1,0
CLT-MIA,19.00509878,90.52197802,24.73480414,126.6246127,651,0.5,1,0
CLT-MIA,20.01913935,93.94021739,39.84190994,146.3946995,651,0.5,1,0
CLT-MIA,19.96998266,95.07608696,38.7335475,140.9851315,651,0.5,1,0
CLT-MIA,17.97401373,91.6,27.94406781,133.8769405,651,0.5,1,0
CLT-MIA,17.35983033,149.478022,29.43784182,126,651,1,1,0
CLT-MIA,17.66758813,184.7608696,25.44307677,125,651,1,1,0
CLT-MIA,17.59070863,191.1956522,28.21098009,123.0310264,651,1,1,0
CLT-MIA,18.43422561,199.6888889,32.93085633,130.5085109,651,1,1,0
CLT-MIA,18.81918074,196.9450549,27.98492892,136,651,1,1,0
CLT-MIA,18.95725936,198.0978261,28.48018197,129.5294139,651,1,1,0
CLT-MIA,19.89513009,199.4565217,31.10962928,134.1037812,651,1,1,0
CLT-MIA,19.89307391,189.7222222,26.26259858,149.4804443,651,1,1,0
CLT-MIA,20.97623764,194.989011,22.94012288,164.094812,651,1,1,0
CLT-MIA,22.11981567,192.9021739,23.63754728,183.0254323,651,1,1,0
CLT-MIA,22.30001761,219.2608696,26.73204384,180.7094352,651,1,1,0
CLT-MIA,21.89646616,246.8791209,24.17551759,178.0367958,651,0.21209146,2,0
CLT-MIA,22.19017763,247.2527473,18.44146996,201.9328902,651,0.219405168,2,0
CLT-MIA,21.73210472,242.9347826,18.96969807,199.7600169,651,0.230917056,2,0
CLT-MIA,22.73965926,247.0978261,26.7772841,188.0703635,651,0.231110976,2,0
CLT-MIA,21.74117594,246.0555556,19.08933449,203.6051661,651,0.197194135,2,0
CLT-MIA,21.73091648,244.2417582,21.92406589,180,651,0.204958434,2,0
CLT-MIA,22.66710547,247.3804348,18.77352435,204.3771398,651,0.200180311,2,0
CLT-MIA,22.44845087,244,22.47792415,179.0464717,651,0.175848279,2,0
CLT-MIA,23.87282814,236.7555556,19.41562155,198.9296889,651,0.168581284,2,0
CLT-MIA,22.57470039,165.9120879,20.41983001,170.4903249,651,0.113559781,2,0
CLT-MIA,18.12596006,319.5652174,11.9936653,160.1857596,651,0.23128936,2,0
CLT-MIA,20.66449629,387.25,11.62749854,206.3160861,651,0.289717536,2,0
CLT-MIA,21.74419811,390.4944444,10.05213813,230.484398,651,0.285832215,2,0
CLT-MIA,20.48777777,346.2637363,9.613949269,238.4982669,651,0.242789888,2,0
CLT-MIA,18.20206236,1392.353261,10.42084141,255.4771298,651,1,1,0
